  1;1;FAC;PEND;INTP;OTROSP;EXTRAP;MULTAP;SERPUP;SERVIP;NDNCP;ACTUAL;INTA;OTROSA;EXTRAA;MULTAA;SERPUA;SERVIA;NDNCA
1;1;2295;176600;0;0;40000;0;62900;8500;0;176600;5950;0;40000;0;62900;8500;0
1;1;2296;0;0;0;0;0;0;0;0;191900;0;0;40000;0;62900;0;0
1;1;2297;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2298;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;62900;0;0
1;1;2299;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;1;2300;47940;0;0;0;0;0;0;0;191900;1150;33700;40000;0;0;0;0
1;1;2301;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2302;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2303;2984221;158590;0;120000;176600;0;0;0;176600;71620;0;40000;0;0;0;0
1;1;2304;3713400;900350;731900;120000;225600;0;0;0;191900;106690;33700;40000;0;0;0;0
1;1;2305;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0
1;1;2306;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;0;0;0
1;1;2307;12360;0;0;0;0;0;0;0;176600;300;33700;40000;0;0;0;0
1;1;2308;763152;0;0;0;0;0;0;0;191900;18320;33700;40000;0;0;0;0
1;1;2309;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;4300;0
1;1;2310;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2311;-147400;0;67400;80000;0;0;0;0;176600;0;33700;40000;0;0;0;0
1;1;2312;-80000;0;0;80000;0;0;0;0;191900;0;0;40000;0;0;0;0
1;1;2313;140100;0;0;40000;0;0;0;0;140100;3360;0;40000;0;0;0;0
1;1;2314;273000;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2315;716790;13840;0;40000;0;0;0;0;140100;17200;0;40000;0;0;0;0
1;1;2316;250520;2020;0;40000;0;0;0;0;166500;6010;0;40000;0;0;0;0
1;1;2317;122920;0;0;0;0;0;0;0;196300;2950;33700;40000;0;0;0;0
1;1;2318;0;0;0;0;0;0;0;0;216500;0;33700;40000;0;62900;0;0
1;1;2319;0;0;0;0;0;0;0;0;196300;0;0;40000;0;62900;0;0
