CODIGO;COD;BLOQ;APTO;CLAVE;CODIGO1;CODPROP;FAC;C_V;PEND;INTP;OTROSP;EXTRAP;MULTAP;SERPUP;SERVIP;NDNCP;ACTUAL;INTA;OTROSA;EXTRAA;MULTAA;SERPUA;SERVIA;NDNCA;TADMI;TINTE;TOTRO;TEXTR;TMULT;TSERP;TSERVI;TNDNC;COEF_URB;COEF_APA;COEF_GAR;COEF_GAR1;COEF_UTIL;COEF_MOD_A;COEF_PQUT;COEF_MOD_B;LECTANT;LECTACT;CONSUMO;COSTO;TOTAL;VALDESC;VALPAG;VALOR;EXTR;MULT;SPP;OTR;SER;NDNC;INT;IDENT
1130;30;3;103;30 3103;;;2297;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;3;104;30 3104;;;2298;0;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;62900;0;0;166500;0;33700;40000;0;62900;0;0;1,228000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;303100;0;303100;303100;40000;0;62900;33700;0;0;0;
1130;30;3;201;30 3201;;;2299;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;176600;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;216600;216600;40000;0;0;0;0;0;0;
1130;30;3;202;30 3202;;;2300;0;47940;0;0;0;0;0;0;0;191900;1150;33700;40000;0;0;0;0;719660;27240;134800;120000;118300;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;314690;0;1120000;314690;40000;0;0;33700;0;0;0;
1130;30;3;203;30 3203;;;2301;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;3;204;30 3204;;;2302;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;206500;206500;40000;0;0;0;0;0;0;
1130;30;3;301;30 3301;;;2303;17;2984221;158590;0;120000;176600;0;0;0;176600;71620;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;3727631;0;0;3727631;40000;0;0;0;0;0;0;
1130;30;3;302;30 3302;;;2304;19;3713400;900350;731900;120000;225600;0;0;0;191900;106690;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;6063540;0;0;6063540;40000;0;0;33700;0;0;0;
1130;30;3;303;30 3303;;;2305;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0;140100;0;0;40000;0;62900;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;243000;0;243000;243000;40000;0;62900;0;0;0;0;
1130;30;3;304;30 3304;;;2306;0;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;0;0;0;166500;0;33700;40000;0;0;0;0;1,228000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;240200;0;240200;240200;40000;0;0;33700;0;0;0;
1130;30;3;401;30 3401;;;2307;0;12360;0;0;0;0;0;0;0;176600;300;33700;40000;0;0;0;0;385970;7230;67400;80000;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;262960;0;540600;262960;40000;0;0;33700;0;0;0;
1130;30;3;402;30 3402;;;2308;4;763152;0;0;0;0;0;0;0;191900;18320;33700;40000;0;0;0;0;122890;29710;67400;80000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;1047072;0;300000;1047072;40000;0;0;33700;0;0;0;
1130;30;3;403;30 3403;;;2309;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;4300;0;139700;0;0;40000;0;0;4300;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;184400;0;184000;184400;40000;0;0;0;4300;0;0;
1130;30;3;404;30 3404;;;2310;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;33000;0;0;80000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;113000;206500;40000;0;0;0;0;0;0;
1130;30;3;501;30 3501;;;2311;-1;-147400;0;67400;80000;0;0;0;0;176600;0;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;250300;0;0;250300;40000;0;0;33700;0;0;0;
1130;30;3;502;30 3502;;;2312;0;-80000;0;0;80000;0;0;0;0;191900;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;231900;0;0;231900;40000;0;0;0;0;0;0;
1130;30;3;503;30 3503;;;2313;1;140100;0;0;40000;0;0;0;0;140100;3360;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;363560;0;0;363560;40000;0;0;0;0;0;0;
1130;30;3;504;30 3504;;;2314;2;273000;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;519500;0;0;519500;40000;0;0;0;0;0;0;
1130;30;4;101;30 4101;;;2315;5;716790;13840;0;40000;0;0;0;0;140100;17200;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;967930;0;0;967930;40000;0;0;0;0;0;0;
1130;30;4;102;30 4102;;;2316;2;250520;2020;0;40000;0;0;0;0;166500;6010;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;505050;0;0;505050;40000;0;0;0;0;0;0;
1130;30;4;103;30 4103;;;2317;1;122920;0;0;0;0;0;0;0;196300;2950;33700;40000;0;0;0;0;154360;1940;33700;40000;0;0;0;0;1,410000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;395870;0;230000;395870;40000;0;0;33700;0;0;0;
1130;30;4;104;30 4104;;;2318;0;0;0;0;0;0;0;0;0;216500;0;33700;40000;0;62900;0;0;216500;0;33700;40000;0;62900;0;0;1,535000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;353100;0;353100;353100;40000;0;62900;33700;0;0;0;
1130;30;4;105;30 4105;;;2319;0;0;0;0;0;0;0;0;0;196300;0;0;40000;0;62900;0;0;196300;0;0;40000;0;62900;0;0;1,203000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;299200;0;299200;299200;40000;0;62900;0;0;0;0;
1130;30;4;106;30 4106;;;2320;1;216500;0;33700;40000;0;0;0;0;216500;6000;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,534000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;586400;0;0;586400;40000;0;0;33700;0;0;0;
1130;30;4;107;30 4107;;;2321;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0;140100;0;0;40000;0;62900;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;243000;0;243000;243000;40000;0;62900;0;0;0;0;
1130;30;4;108;30 4108;;;2322;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;62900;0;0;166500;0;0;40000;0;62900;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;269400;0;269400;269400;40000;0;62900;0;0;0;0;
1130;30;4;201;30 4201;;;2323;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;4;202;30 4202;;;2324;0;-8670;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;197830;0;206500;197830;40000;0;0;0;0;0;0;
1130;30;4;203;30 4203;;;2325;30;5379527;0;0;40000;0;0;0;0;176600;129110;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;5765237;0;0;5765237;40000;0;0;0;0;0;0;
1130;30;4;204;30 4204;;;2326;1;196402;110;0;40000;0;62900;0;0;191900;6220;0;40000;0;62900;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;600432;0;0;600432;40000;0;62900;0;0;0;0;
1130;30;4;205;30 4205;;;2327;0;0;0;0;0;0;0;0;0;176600;0;33700;40000;0;0;0;0;257580;1940;33700;40000;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;250300;0;333220;250300;40000;0;0;33700;0;0;0;
1130;30;4;206;30 4206;;;2328;0;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0;191900;0;33700;40000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;265600;0;265600;265600;40000;0;0;33700;0;0;0;
1130;30;4;207;30 4207;;;2329;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;4;208;30 4208;;;2330;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;206500;206500;40000;0;0;0;0;0;0;
1130;30;4;301;30 4301;;;2331;0;-5990;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;148140;50;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;174110;0;188190;174110;40000;0;0;0;0;0;0;
1130;30;4;302;30 4302;;;2332;0;-100;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206400;0;206500;206400;40000;0;0;0;0;0;0;
1130;30;4;303;30 4303;;;2333;0;0;0;0;0;0;0;0;0;176600;0;33700;40000;0;0;0;0;176600;0;33700;40000;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;250300;0;250300;250300;40000;0;0;33700;0;0;0;
1130;30;4;304;30 4304;;;2334;0;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0;191900;0;33700;40000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;265600;0;265600;265600;40000;0;0;33700;0;0;0;
1130;30;4;305;30 4305;;;2335;0;0;0;0;0;0;0;0;0;176600;0;33700;40000;0;0;0;0;176600;0;33700;40000;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;250300;0;250300;250300;40000;0;0;33700;0;0;0;
1130;30;4;306;30 4306;;;2336;0;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0;191900;0;33700;40000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;265600;0;265600;265600;40000;0;0;33700;0;0;0;
1130;30;4;307;30 4307;;;2337;2;236200;0;0;0;0;0;0;0;140100;5670;0;40000;0;0;0;0;759070;37950;0;120000;105630;0;0;0;1,066000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;421970;0;1022650;421970;40000;0;0;0;0;0;0;
1130;30;4;308;30 4308;;;2338;0;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;0;0;0;239530;1750;33700;40000;0;0;0;0;1,228000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;240200;0;314980;240200;40000;0;0;33700;0;0;0;
1130;30;4;401;30 4401;;;2339;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0;140100;0;0;40000;0;62900;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;243000;0;243000;243000;40000;0;62900;0;0;0;0;
1130;30;4;402;30 4402;;;2340;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;206500;206500;40000;0;0;0;0;0;0;
1130;30;4;403;30 4403;;;2341;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;176600;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;216600;216600;40000;0;0;0;0;0;0;
1130;30;4;404;30 4404;;;2342;7;1343300;97810;0;120000;0;0;0;0;191900;32240;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;1825250;0;0;1825250;40000;0;0;0;0;0;0;
1130;30;4;405;30 4405;;;2343;1;176600;0;0;40000;0;62900;4300;0;176600;5850;0;40000;0;62900;4300;0;0;0;0;0;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;573450;0;0;573450;40000;0;62900;0;4300;0;0;
1130;30;4;406;30 4406;;;2344;0;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0;191900;0;33700;40000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;265600;0;265600;265600;40000;0;0;33700;0;0;0;
1130;30;4;407;30 4407;;;2345;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;4;408;30 4408;;;2346;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;62900;0;0;166500;0;0;40000;0;62900;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;269400;0;269400;269400;40000;0;62900;0;0;0;0;
1130;30;4;501;30 4501;;;2347;-5;-700500;0;0;120000;0;0;0;0;140100;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;-400400;0;0;-400400;40000;0;0;0;0;0;0;
